data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2019-10-07,Brasil,NA,64020.784990793,65368.63600585681,NA,NA,NA,NA,NA,64104.11684452238,64417.99759914283,-0.004872563046334501,-0.019586408036526212,NA,19616.393513376,19797.93838517141,19563.449632826952,19616.07313925337,-0.002682672829207308,-0.012635672221659674
2019-10-08,Brasil,NA,65081.53964557633,66810.7048126114,NA,NA,NA,NA,NA,63927.721534623044,64420.324839730776,-0.007646706320299746,-0.014859412790016423,NA,20221.525311201334,20455.71781632402,19546.43440374276,19617.241141733655,-0.0036094136519665564,-0.009644162698827542
2019-10-09,Brasil,NA,65116.91210359233,67132.63345450987,NA,NA,NA,NA,NA,63586.177206482476,64422.652080318716,-0.01298417321896912,-0.012004607337987633,NA,20351.535464587334,20528.25576799048,19506.319000071617,19618.409144213936,-0.005713518528355196,-0.007630198605764817
2019-10-10,Brasil,NA,65874.803690124,67059.45166670621,NA,NA,NA,NA,NA,63419.93721399871,64432.85976918928,-0.015720589755274714,-0.010714628389316517,NA,20564.010633459002,20522.253998198994,19509.172726992572,19619.110348958326,-0.005603598736656806,-0.006088457414106965
2019-10-11,Brasil,NA,66900.312868049,66698.24734028049,NA,NA,NA,NA,NA,63418.75853838652,64422.208358185,-0.01557614750210575,-0.010500568401930033,NA,20613.990212754,20504.274178006446,19503.003457117953,19616.801040469087,-0.005801026534161783,-0.005253883949650413
2019-10-12,Brasil,NA,59270.938833208005,56372.384534136116,NA,NA,NA,NA,NA,63070.39248388124,63684.46769587045,-0.009642464390560214,-0.010390629481751998,NA,17175.489579957,16815.04949663823,19251.231334886525,19314.629399578553,-0.003282385769897893,-0.004575933385945385
2019-10-13,Brasil,NA,57771.861024045,56365.50674110787,NA,NA,NA,NA,NA,63433.87902219824,63686.79493645839,-0.003971245758441583,-0.010059127141712233,NA,16166.216125045,16587.092172082273,19244.165834339954,19315.797402058837,-0.00370844476300254,-0.004343008687606869
2019-10-14,Brasil,NA,67720.98998217299,65384.92668997241,NA,NA,NA,NA,NA,63962.47973525252,63689.12217704634,0.004292060384288051,-0.008749895223051867,NA,20043.681231006,19806.114402533374,19305.206936858525,19316.965404539114,-6.087119500574391e-4,-0.00404672856201403
2019-10-15,Brasil,NA,67707.280393629,66983.43347626473,NA,NA,NA,NA,NA,64337.585556402904,63713.797700425384,0.009790467347598638,-0.006258870413352099,NA,20615.565319044,20414.167576368887,19361.498366550335,19311.029655974096,0.002613465541472335,-0.003157745820094189
2019-10-16,Brasil,NA,67930.427065122,67148.92413862547,NA,NA,NA,NA,NA,64739.516265192855,63716.12494101333,0.016061732020378697,-0.0021094553791595537,NA,20629.07684954,20536.431785352448,19401.147135829287,19312.19765845438,0.004605870287163656,-0.0016835474178772101
2019-10-17,Brasil,NA,69099.151342199,67093.97804600064,NA,NA,NA,NA,NA,65200.13735834643,63721.05728091254,0.023211794351016637,0.003452313778882068,NA,20896.968378325,20543.152996450615,19448.712527953,19315.18322963318,0.0069131779249683835,1.0456353378353135e-4
2019-10-18,Brasil,NA,69275.89357062067,66805.38858554164,NA,NA,NA,NA,NA,65539.50603014238,63736.3631730927,0.0282906455166382,0.00971899849584549,NA,20863.029955079666,20536.791372155054,19484.289633999524,19319.828543082982,0.008512554371266594,0.002149360805987585
2019-10-19,Brasil,NA,62847.46268324,61563.82155672388,NA,NA,NA,NA,NA,66050.43800871838,64477.99703346238,0.02438724910204557,0.014580386137646315,NA,18909.666571199,18947.130862929916,19732.029204176953,19624.41159541037,0.005483864229170232,0.003401682234425889
2019-10-20,Brasil,NA,55723.530919286,56381.79742522346,NA,NA,NA,NA,NA,65757.81942232423,64480.32427405032,0.019812170032588252,0.017978016964936294,NA,16248.223898035,16595.268189444243,19743.74460031838,19625.579597890646,0.006020968799333377,0.004791598457616734
2019-10-21,Brasil,NA,63393.988053587,65401.21737408801,NA,NA,NA,NA,NA,65139.67628966909,64482.651514638266,0.010189171189427198,0.018820461365670456,NA,19866.958741417,19814.290419895344,19718.498530377092,19626.74760037093,0.004674790335838784,0.0055463844984590515
